Rank,Name,Country,Office,City,Lat,Lng
70,Odilo Scherer,Brazil,Archbishop of São Paulo,Sao Paulo,,
129,Kriengsak Kovitvanit,Thailand,Archbishop emeritus of Bangkok,Bangkok,,
69,Daniel DiNardo,United States,Archbishop emeritus of Galveston–Houston,Houston,,
46,Josip Bozanić,Croatia,Archbishop emeritus of Zagreb,Zagreb,,
141,Blase J. Cupich,United States,Archbishop of Chicago,Chicago,,
111,Leopoldo Brenes,Nicaragua,Archbishop of Managua,Managua,,
160,Thomas Aquino Manyo Maeda,Japan,Archbishop of Osaka–Takamatsu,Osaka,,
68,Francisco Robles Ortega,Mexico,Archbishop of Guadalajara,Guadalajara,,
128,Charles Maung Bo SDB,Myanmar,Archbishop of Yangon,Yangon,,
45,Peter Turkson,Ghana,Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences,Ghana,,
159,Giuseppe Petrocchi,Italy,Archbishop emeritus of L'Aquila,L’Aquila,,
122,Manuel Clemente,Portugal,Patriarch emeritus of Lisbon,Lisbon,,
123,Berhaneyesus Demerew Souraphiel CM,Ethiopia,"Archbishop of Addis Abeba
(Ethiopian Church)",Addis Abeba,,
163,Juan García Rodríguez,Cuba,Archbishop of San Cristóbal de la Habana,Havana,,
13,Louis Raphaël I Sako,Iraq,"Patriarch of Baghdad
(Chaldean Church)",Baghdad,,
75,Raymond Leo Burke,United States,Patron emeritus of the Sovereign Military Order of Malta,Malta,,
124,John Dew,New Zealand,Archbishop emeritus of Wellington,Wellington,,
171,Wilton Daniel Gregory,United States,Archbishop emeritus of Washington,Washington DC,,
116,Mario Aurelio Poli,Argentina,Archbishop emeritus of Buenos Aires,Buenos Aires,,
83,Malcolm Ranjith,Sri Lanka,Archbishop of Colombo,Colombo,,
166,Álvaro Leonel Ramazzini Imeri,Guatemala,Bishop of Huehuetenango,Huehuetenango,,
144,Jozef De Kesel,Belgium,Archbishop emeritus of Mechelen–Brussels,Brussels,,
156,António Marto,Portugal,Bishop emeritus of Leiria–Fátima,Leiria,,
99,Giuseppe Betori,Italy,Archbishop emeritus of Florence,Florence,,
243,Emil Paul Tscherrig,Switzerland,Apostolic Nuncio emeritus to Italy and San Marino,San Marino,,
96,Thomas Collins,Canada,Archbishop emeritus of Toronto,Toronto,,
130,Francesco Montenegro,Italy,Archbishop emeritus of Agrigento,Agrigento,,
150,Juan José Omella,Spain,Archbishop of Barcelona,Barcelona,,
71,John Njue,Kenya,Archbishop emeritus of Nairobi,Nairobi,,
119,Philippe Ouédraogo,Burkina Faso,Archbishop emeritus of Ouagadougou,Ouagadogou,,
113,Jean-Pierre Kutwa,Ivory Coast,Archbishop emeritus of Abidjan,Abidjan,,
110,Vincent Nichols,United Kingdom,Archbishop of Westminster,Westminster,,
54,Antonio Cañizares Llovera,Spain,Archbishop emeritus of Valencia,Valencia,,
23,Vinko Puljić,Bosnia and Herzegovina,Archbishop emeritus of Vrhbosna,Vrhbosna,,
155,Joseph Coutts,Pakistan,Archbishop emeritus of Karachi,Karachi,,
73,Robert Sarah,Guinea,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,,,
139,Carlos Osoro Sierra,Spain,Archbishop emeritus of Madrid,Madrid,,
