Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
43,April 2–4,Romania,Bucharest,Attended theNATO Summit Meeting.,2008,44.4361414,26.1027202
43,April 4–5,Croatia,Zagreb,Met with PresidentStjepan Mesić.,2008,45.8130967,15.9772795
43,April 5–6,Russia,Sochi,Met with President Vladimir Putin and President-electDmitry Medvedev.,2008,43.5854823,39.723109
44,May 14–16,USA,"Washington, DC",Start in DC,2008,38.9072,-77.0369
44,May 14–16,Israel,Tel Aviv,Met with President Shimon Peres and Prime Minister Ehud Olmert. Addressed theKnesset. Attended Israel's 60th anniversary. Visited the Masada fortification site.,2008,32.0852997,34.7818064
44,May 14–16,Israel,Jerusalem,Met with President Shimon Peres and Prime Minister Ehud Olmert. Addressed theKnesset. Attended Israel's 60th anniversary. Visited the Masada fortification site.,2008,31.7788242,35.2257626
44,May 14–16,Israel,Masada,Met with President Shimon Peres and Prime Minister Ehud Olmert. Addressed theKnesset. Attended Israel's 60th anniversary. Visited the Masada fortification site.,2008,31.3156403,35.3538943
44,May 16–17,Saudi Arabia,Riyadh,Met with King Abdullah.,2008,24.638916,46.7160104
44,May 16–17,Saudi Arabia,al-Janadriyah,Met with King Abdullah.,2008,24.8947047,46.8425606
44,May 17–18,Egypt,Sharm el-Sheikh,"Met with President Hosni Mubarak, King Abdullah II of Jordan, Palestinian Authority president Mahmoud Abbas and Prime MinisterSalam Fayyad, Afghan president Hamid Karzai and Pakistani prime ministerYousaf Raza Gillani. Addressed theWorld Economic Forum.",2008,27.8644422,34.295447
45,June 9–10,USA,"Washington, DC",Start in DC,2008,38.9072,-77.0369
45,June 9–10,Slovenia,Ljubljana,Met with PresidentDanilo Türkand Prime MinisterJanez Janša. Attended the EU-US Summit Meeting.,2008,46.0500268,14.5069289
45,June 10–11,Germany,Meseberg,Met with Chancellor Angela Merkel.,2008,52.8066153,11.8071545
45,June 11–13,Italy,Rome,Met with President Giorgio Napolitano and Prime Minister Silvio Berlusconi.,2008,41.8933203,12.4829321
45,June 13,Vatican City,Apostolic Palace,Met with Pope Benedict XVI.,2008,41.9032459,12.4551867
45,June 13–15,France,Paris,Met with PresidentNicolas Sarkozy. Addressed theOECD. Attended wreath-laying ceremonies at theSuresnes American Cemetery and MemorialandMémorial de la France combattante.,2008,48.8588897,2.320041
45,June 15–16,United Kingdom,London,"Met with Queen Elizabeth II atWindsor Castle. Met with Prime MinisterGordon Brownand Quartet Representative Tony Blair. In Belfast, met withFirst MinisterPeter Robertsonand Deputy First MinisterMartin McGuinness.",2008,51.5074456,-0.1277653
45,June 15–16,United Kingdom,Belfast,"Met with Queen Elizabeth II atWindsor Castle. Met with Prime MinisterGordon Brownand Quartet Representative Tony Blair. In Belfast, met withFirst MinisterPeter Robertsonand Deputy First MinisterMartin McGuinness.",2008,54.596391,-5.9301829
46,July 6–9,USA,"Washington, DC",Start in DC,2008,38.9072,-77.0369
46,July 6–9,Japan,Tōyako,"Attended the34th G8 summit. Met with Tanzanian president Kikwete, Indian prime minister Manmohan Singh, Chinese president Hu Jintao and South Korean presidentLee Myung-bak.",2008,42.5513253,140.7642723
47,August 5–6,USA,"Washington, DC",Start in DC,2008,38.9072,-77.0369
47,August 5–6,South Korea,Seoul,Met with President Lee Myung-bak. Addressed U.S. military personnel.,2008,37.5666791,126.9782914
47,August 6–7,Thailand,Bangkok,Met with Prime MinisterSamak Sundaravej.,2008,13.7524938,100.4935089
47,August 7–11,China,Beijing,Attended theopening ceremonies of the Olympic Games. Met with President Hu Jintao and Russian Prime Minister Vladimir Putin.,2008,40.190632,116.412144
48,November 21–23,USA,"Washington, DC",Start in DC,2008,38.9072,-77.0369
48,November 21–23,Peru,Lima,Attended theAPEC Summit Meeting.,2008,-12.0621065,-77.0365256
49,December 14,USA,"Washington, DC",Start in DC,2008,38.9072,-77.0369
49,December 14,Iraq,Baghdad,Met with PresidentJalal Talabaniand Prime Minister Nouri al-Maliki. SignedStrategic Framework and Security Agreements. Visited U.S. military personnel.,2008,33.3061701,44.3872213
49,December 14–15,Afghanistan,Kabul,Met with President Hamid Karzai. Visited U.S. military personnel.,2008,34.5266431,69.1849082
49,December 15,United Kingdom,RAF Mildenhall,Stopped during return toWashington D.C.. Met with military personnels.[6],2008,52.3626963,0.4854831
