Rank,Name,Country,Office,City,Lat,Lng,DistanceToVatican,CardinalLabel
121,Chibly Langlois,Haiti,Bishop of Les Cayes,Les Cayes,18.1944428,-73.7511601,8374.59,Cardinal Chibly Langlois: Bishop of Les Cayes
170,Antoine Kambanda,Rwanda,Archbishop of Kigali,Kigali,-1.8859597,30.1296751,5166.9,Cardinal Antoine Kambanda: Archbishop of Kigali
207,Tarcisio Isao Kikuchi SVD,Japan,Archbishop of Tokyo,Tokyo,35.6768601,139.7638947,9883.43,Cardinal Tarcisio Isao Kikuchi SVD: Archbishop of Tokyo
192,Ángel Sixto Rossi SJ,Argentina,Archbishop of Córdoba,Cordoba,-31.4166867,-64.1834193,11282.29,Cardinal Ángel Sixto Rossi SJ: Archbishop of Córdoba
165,Jean-Claude Hollerich SJ,Luxembourg,Archbishop of Luxembourg,Luxembourg City,49.6112768,6.129799,987.14,Cardinal Jean-Claude Hollerich SJ: Archbishop of Luxembourg
112,Gérald Lacroix ISPX,Canada,Archbishop of Quebec,Quebec City,46.8137431,-71.2084061,6366.31,Cardinal Gérald Lacroix ISPX: Archbishop of Quebec
185,William Goh,Singapore,Archbishop of Singapore,Singapore,1.357107,103.8194992,10024.57,Cardinal William Goh: Archbishop of Singapore
206,Fernando Chomalí Garib,Chile,Archbishop of Santiago de Chile,Santiago de Chile,-33.4377756,-70.6504502,11889.41,Cardinal Fernando Chomalí Garib: Archbishop of Santiago de Chile
230,Mario Grech,Malta,Secretary-General of the Synod of Bishops,Malta,35.8885993,14.4476911,689.66,Cardinal Mario Grech: Secretary-General of the Synod of Bishops
147,John Ribat MSC,Papua New Guinea,Archbishop of Port Moresby,Moresby,-9.4743301,147.1599504,14325.98,Cardinal John Ribat MSC: Archbishop of Port Moresby
191,Stephen Brislin,South Africa,Archbishop of Johannesburg,Johannesburg,-26.205,28.049722,7709.57,Cardinal Stephen Brislin: Archbishop of Johannesburg
209,Ladislav Nemet SVD,Serbia[r],Archbishop of Belgrade,Belgrade,44.8178131,20.4568974,724.67,Cardinal Ladislav Nemet SVD: Archbishop of Belgrade
101,Rainer Woelki,Germany,Archbishop of Cologne,Cologne,50.938361,6.959974,1088.78,Cardinal Rainer Woelki: Archbishop of Cologne
205,Luis Cabrera Herrera OFM,Ecuador,Archbishop of Guayaquil,Guayaquil,-2.1900563,-79.8868741,10366.86,Cardinal Luis Cabrera Herrera OFM: Archbishop of Guayaquil
167,Matteo Zuppi,Italy,Archbishop of Bologna,Bologna,44.4938203,11.3426327,301.66,Cardinal Matteo Zuppi: Archbishop of Bologna
11,Robert Francis Prevost OSA,United States,Prefect of the Dicastery for Bishops[d],Chiclayo,33.0321258,-117.0559661,10239.71,Cardinal Robert Francis Prevost OSA: Prefect of the Dicastery for Bishops[d]
158,Désiré Tsarahazana,Madagascar,Archbishop of Toamasina,Toamasina,-18.1553985,49.4098352,7659.04,Cardinal Désiré Tsarahazana: Archbishop of Toamasina
180,Robert W. McElroy,United States,Archbishop of Washington,Washington D.C.,38.8950368,-77.0365427,7232.38,Cardinal Robert W. McElroy: Archbishop of Washington
84,Reinhard Marx,Germany,Archbishop of Munich and Freising and Coordinator of the Council for the Economy[d],Munich,48.1371079,11.5753822,696.26,Cardinal Reinhard Marx: Archbishop of Munich and Freising and Coordinator of the Council for the Economy[d]
98,Wim Eijk,Netherlands,Archbishop of Utrecht,Utrecht,52.0907006,5.1215634,1260.89,Cardinal Wim Eijk: Archbishop of Utrecht
179,Filipe Neri Ferrão,India,Archbishop of Goa and Daman and Patriarch of the East Indies,Goa,15.3004543,74.0855134,6548.98,Cardinal Filipe Neri Ferrão: Archbishop of Goa and Daman and Patriarch of the East Indies
49,Péter Erdő,Hungary,Archbishop of Esztergom–Budapest,Budapest,47.4813896,19.1460941,815.29,Cardinal Péter Erdő: Archbishop of Esztergom–Budapest
204,Vicente Bokalic Iglic CM,Argentina,Archbishop of Santiago del Estero,Santiago del Estero,-27.6431016,-63.5408542,10953.5,Cardinal Vicente Bokalic Iglic CM: Archbishop of Santiago del Estero
168,Cristóbal López Romero SDB,Morocco[m],Archbishop of Rabat,Rabat,34.0218454,-6.8408929,1901.8,Cardinal Cristóbal López Romero SDB: Archbishop of Rabat
148,Joseph W. Tobin CSsR,United States,Archbishop of Newark,"Newark,",40.735657,-74.1723667,6914.97,Cardinal Joseph W. Tobin CSsR: Archbishop of Newark
172,Jose Advincula OP,Philippines,Archbishop of Manila,Manila,14.5904492,120.9803621,10408.21,Cardinal Jose Advincula OP: Archbishop of Manila
237,Lazarus You Heung-sik,South Korea,Prefect of the Dicastery for the Clergy[d],South Korea,36.638392,127.6961188,9109.31,Cardinal Lazarus You Heung-sik: Prefect of the Dicastery for the Clergy[d]
198,Sebastian Francis,Malaysia,Bishop of Penang,Penang,5.4065013,100.2559077,9431.03,Cardinal Sebastian Francis: Bishop of Penang
186,Adalberto Martínez Flores,Paraguay,Archbishop of Asunción,Asuncion,-25.2800459,-57.6343814,10348.57,Cardinal Adalberto Martínez Flores: Archbishop of Asunción
178,Leonardo Ulrich Steiner OFM,Brazil,Archbishop of Manaus,Manaus,-3.1316333,-59.9825041,8801.72,Cardinal Leonardo Ulrich Steiner OFM: Archbishop of Manaus
48,Philippe Barbarin,France,Archbishop emeritus of Lyon,Lyon,45.7578137,4.8320114,747.29,Cardinal Philippe Barbarin: Archbishop emeritus of Lyon
182,Oscar Cantoni,Italy,Bishop of Como,Como,45.9394759,9.1494101,521.01,Cardinal Oscar Cantoni: Bishop of Como
162,Ignatius Suharyo Hardjoatmodjo,Indonesia,Archbishop of Jakarta,Jakarta,-6.1754049,106.827168,10828.35,Cardinal Ignatius Suharyo Hardjoatmodjo: Archbishop of Jakarta
