Date,Country,Location,Details,Year,Latitude,Longitude
"November 14–17, 1906",USA,"Washington, DC",Start in DC,1906,38.9072,-77.0369
"November 14–17, 1906",Panama,Colon,"To inspect construction of Panama Canal. First visit abroad by any President or
            President-elect. Departed the U.S. November 9; returned to U.S. November 26.",1906,9.3553005,-79.8974085
"November 14–17, 1906",Panama,Panama City,"To inspect construction of Panama Canal. First visit abroad by any President or
            President-elect. Departed the U.S. November 9; returned to U.S. November 26.",1906,8.9714493,-79.5341802
