Date,Country,Location,Details,Year,Latitude,Longitude
"January 15–17, 1928",USA,"Washington, DC",Start in DC,1928,38.9072,-77.0369
"January 15–17, 1928",Cuba,Havana,Addressed the Sixth International Conference of American States.,1928,23.135305,-82.3589631
