Date,Country,Location,Details,Year,Latitude,Longitude
"January 29–February 7, 1909",USA,"Washington, DC",Start in DC,1909,38.9072,-77.0369
"January 29–February 7, 1909",Panama,Colon,"Inspected construction of Panama Canal. Met with President Obaldia. [Visit made as
            President-elect.]",1909,9.3553005,-79.8974085
"January 29–February 7, 1909",Panama,Panama City,"Inspected construction of Panama Canal. Met with President Obaldia. [Visit made as
            President-elect.]",1909,8.9714493,-79.5341802
"October 16, 1909",USA,"Washington, DC",Start in DC,1909,38.9072,-77.0369
"October 16, 1909",Mexico,Ciudad Juarez,Part of an exchange of visits with President Diaz across the border.,1909,31.7372575,-106.485655
