Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
13,June 6,France,Caen,Met with PresidentEmmanuel Macron. Attended the 75th anniversary ofD-Daymemorial ceremonies. Visited theNormandy American Cemetery and Memorial.,2019,49.1813403,-0.3635615
13,June 6–7,Ireland,Shannon,Spent one night at hisInternationalgolf resort inDoonbeg.,2019,53.1349614,-8.1611027
13,June 6–7,Ireland,County Clare,Spent one night at hisInternationalgolf resort inDoonbeg.,2019,52.8572575,-8.9374359
14,June 27–29,USA,"Washington, DC",Start in DC,2019,38.9072,-77.0369
14,June 27–29,Japan,Osaka,"Attended theG-20 summit. Also held bilateral meetings with Australian prime ministerScott Morrison, Brazilian presidentJair Bolsonaro, Chinese presidentXi Jinping, German chancellorAngela Merkel, Indian prime ministerNarendra Modi, Japanese prime ministerShinzō Abe, Saudi crown princeMohammad Bin Salman, Turkish presidentRecep Tayyip Erdoğanand Russian presidentVladimir Putin.",2019,34.6937569,135.5014539
14,June 29–30,South Korea,Seoul,Met with PresidentMoon Jae-in. Visited theKorean Demilitarized Zone. Attended theKoreas–United States DMZ Summitwith President Moon and North Korean chairman Kim Jong Un at theInter-Korean Freedom Houseon the southern side of theJoint Security Areaof the Korean Demilitarized Zone. Visited U.S. troops atOsan Air Base.,2019,37.5666791,126.9782914
14,June 29–30,South Korea,Korean Demilitarized Zone,Met with PresidentMoon Jae-in. Visited theKorean Demilitarized Zone. Attended theKoreas–United States DMZ Summitwith President Moon and North Korean chairman Kim Jong Un at theInter-Korean Freedom Houseon the southern side of theJoint Security Areaof the Korean Demilitarized Zone. Visited U.S. troops atOsan Air Base.,2019,38.2336866,127.0087307
14,June 29–30,South Korea,Seoul,Met with PresidentMoon Jae-in. Visited theKorean Demilitarized Zone. Attended theKoreas–United States DMZ Summitwith President Moon and North Korean chairman Kim Jong Un at theInter-Korean Freedom Houseon the southern side of theJoint Security Areaof the Korean Demilitarized Zone. Visited U.S. troops atOsan Air Base.,2019,37.5666791,126.9782914
14,June 29–30,South Korea,Korean Demilitarized Zone,Met with PresidentMoon Jae-in. Visited theKorean Demilitarized Zone. Attended theKoreas–United States DMZ Summitwith President Moon and North Korean chairman Kim Jong Un at theInter-Korean Freedom Houseon the southern side of theJoint Security Areaof the Korean Demilitarized Zone. Visited U.S. troops atOsan Air Base.,2019,38.2336866,127.0087307
14,June 30,North Korea,Joint Security Area,"Briefly walked into the northern side of the Joint Security Area of the Korean Demilitarized Zone, accompanied by North Korean chairman Kim Jong Un, becoming the first sitting U.S. president to enter North Korea.",2019,40.0,127.0
15,August 24–26,USA,"Washington, DC",Start in DC,2019,38.9072,-77.0369
15,August 24–26,France,Biarritz,"Attended the45th G7 summitat theHôtel du PalaisinBiarritz. Also held bilateral meetings with Australian prime ministerScott Morrison, British prime ministerBoris Johnson, Canadian prime ministerJustin Trudeau, Egyptian presidentAbdel Fattah el-Sisi, French presidentEmmanuel Macron, German chancellorAngela Merkel, Indian prime ministerNarendra Modiand Japanese prime ministerShinzō Abe.",2019,43.4832523,-1.5592776
16,November 28,USA,"Washington, DC",Start in DC,2019,38.9072,-77.0369
16,November 28,Afghanistan,Bagram Airfield,Visited withU.S. military personnelserving inEastern Afghanistanaccompanied byFirst LadyMelania Trump. This was the president's fourth trip to a U.S. combat zone. Also met with PresidentAshraf Ghani.,2019,34.9390767,69.2764727
17,December 2–4,USA,"Washington, DC",Start in DC,2019,38.9072,-77.0369
17,December 2–4,United Kingdom,London,"Attended the30th NATO summit. Met with QueenElizabeth IIand Prime MinisterBoris Johnson. Also held bilateral meetings with Canadian prime ministerJustin Trudeau, Danish prime ministerMette Frederiksen, French presidentEmmanuel Macron, German chancellorAngela Merkeland Italian prime ministerGiuseppe Conte.",2019,51.5074456,-0.1277653
17,December 2–4,United Kingdom,Watford,"Attended the30th NATO summit. Met with QueenElizabeth IIand Prime MinisterBoris Johnson. Also held bilateral meetings with Canadian prime ministerJustin Trudeau, Danish prime ministerMette Frederiksen, French presidentEmmanuel Macron, German chancellorAngela Merkeland Italian prime ministerGiuseppe Conte.",2019,51.6553875,-0.3957425
18,January 21–22,USA,"Washington, DC",Start in DC,2020,38.9072,-77.0369
18,January 21–22,Switzerland,Davos,"Attended theWorld Economic Forum;[36]also held bilateral meetings with European Commission presidentUrsula von der Leyen, Iraqi presidentBarham Salih, Iraqi Kurdish presidentNechirvan Barzani, Pakistani prime ministerImran Khan, and Swiss presidentSimonetta Sommaruga.[37]",2020,46.796198,9.8236892
19,February 24–25,USA,"Washington, DC",Start in DC,2020,38.9072,-77.0369
19,February 24–25,India,Ahmedabad,"Addressed a ""Namaste(Welcome) Trump"" event withPrime MinisterNarendra Modiin Ahmedabad. TouredMahatma Gandhi'sSabarmati Ashramand theTaj Mahal.[38]Received a formal welcome fromPresidentRam Nath Kovindat theRashtrapati BhavanPresidential Palace in New Delhi. Conducted a series of meetings with Modi and other government officials, as well as Indian business executives.[39]",2020,23.0215374,72.5800568
19,February 24–25,India,Agra,"Addressed a ""Namaste(Welcome) Trump"" event withPrime MinisterNarendra Modiin Ahmedabad. TouredMahatma Gandhi'sSabarmati Ashramand theTaj Mahal.[38]Received a formal welcome fromPresidentRam Nath Kovindat theRashtrapati BhavanPresidential Palace in New Delhi. Conducted a series of meetings with Modi and other government officials, as well as Indian business executives.[39]",2020,27.1752554,78.0098161
19,February 24–25,India,New Delhi,"Addressed a ""Namaste(Welcome) Trump"" event withPrime MinisterNarendra Modiin Ahmedabad. TouredMahatma Gandhi'sSabarmati Ashramand theTaj Mahal.[38]Received a formal welcome fromPresidentRam Nath Kovindat theRashtrapati BhavanPresidential Palace in New Delhi. Conducted a series of meetings with Modi and other government officials, as well as Indian business executives.[39]",2020,28.6430858,77.2192671
